ImageID,Name,Status Completed (Y/N)
ami-0f395275,CANADA_ON_PS11032_OTTAWA_12082017_PSSR166669_SUMMER_160_MEDIUM_,
ami-0f6e84d5737f5d510,EAST_TN_z(DO_NOT_USE)_MASSIVE_PS11053_SHELBY_08212018_SR18722_t2.2xlarge_255_MEDIUM_,
ami-0f8658d8365f74b71,PM_APPLEGROVE_18-19_PS1202_MN_SALESDEMO_120_SMALL_,
ami-0f96d997120e74a6e,PM_APPLEGROVE_18-19_PS1202_MT_SALESDEMO_120_SMALL_,
ami-0fa91218,WEST_ID_PS0924_ARCO_ELEMENTARY_20150507_SMALL_,
ami-1033de06,AUTOMATION_CENTRAL_NE_PS10_CSS_ALLIANCE_02082016_120_SMALL_,
ami-1125a407,CENTRAL_MO_PS10121_LIBERAL_R2_03082017_120_SMALL_CSS_,
ami-114e696a,EAST_LA_PS1014_CSS_ST_LANDRY_09162014 _V2_160_MEDIUM_,
ami-12919805,AUTOMATION_CENTRAL_TN_PS1002_CSS_KINGSPORT_02172016_V2_120_SMALL_,
ami-132e8769,PM_APPLEGROVE_17-18_PS1103_CA_SALES_DEMO_120_LARGE_,
ami-13565b05,CANADA_ON_PS1100_SIMCOE_COUNTY_06152017_PSS154607_220_LARGE_,
ami-1433ff02,CENTRAL_TN_PS1000_CSS_GREENEVILLE_11102016_V2_120_SMALL_,
ami-1478ab02,WEST_ID_PS10.1.1_MERIDIANWESTADA_20150213_LARGE_CSS_,
ami-1478eb6b,CANADA_ON_PS11033_OTTAWA_CATHOLIC_3152018_EOY1718_PSSR175908_BFT_220_LARGE_,
ami-147ed402,CENTRAL_NE_PS10121_CSS_ALLIANCE_02082016_120_SMALL_,
ami-15325703,WEST_WA_PS1013_SEATTLESD_04242017_160_MEDIUM_,
ami-153c7802,AUTOMATION_CENTRAL_LA_PS10_ST_LANDRY_09162014_V2_120_SMALL_,
ami-15909902,AUTOMATION_CENTRAL_ND_PS1002_CSS_PSSR_140127_9092016_V2_120_SMALL_,
ami-15ecb903,WEST_OK_PS1014_CSS_SHAWNEE_02232017_V2_120_SMALL_,
ami-16995d6c,COMMON_NE_PS1103_SOUTH_SIOUX_CITY_01252016_120_SMALL_,
ami-1736da6a,WEST_PS1014_WY_JAVA_ENV,
ami-1768586c,EAST_IL_PS1101_CSSV1_OREGON_COMMUNITY_01192017_160_MEDIUM_,
ami-17919800,AUTOMATION_WEST_AZ_PS1002_CSS_COOLIDGE_B4_AZEDS_04042016_V2_120_SMALL_,
ami-181db462,PM_APPLEGROVE_17-18_PS1103_MD_SALES_DEMO_120_LARGE_,
ami-183e5b0e,AUTOMATION_EAST_VA_PS1011_FALLSCHURCH_04102017_120_SMALL_,
ami-189e1d67,WEST_ND_PS12_CSS_09092016_160_MEDIUM_,
ami-18e36d0f,COMMON_TN_PS10_GREENVILLE_04112016_EDFI_120_SMALL_,
